,aluguel,quartos,endereco,banheiro,vaga,area,bairro,rua
425,   R$ 16.000 /Mês    R$ 4.850.000   ,  3   Quartos  ,"Avenida Jacutinga, 360 - Indianópolis, São Paulo - SP",  4   Banheiros  ,  4   Vagas  ,  314   m²  , Indianópolis,"Avenida Jacutinga, 360"
426,   R$ 26.000 /Mês  ,  3   Quartos  ,"Rua Iara - Itaim Bibi, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  235   m²  , Itaim Bibi,Rua Iara
427,   R$ 2.850 /Mês  ,  2   Quartos  ,"Avenida Moema, 177 - Moema, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  90   m²  , Moema,"Avenida Moema, 177"
428,   R$ 6.000 /Mês  ,  3   Quartos  ,"Rua Sócrates - Vila Sofia, São Paulo - SP",  4   Banheiros  ,  4   Vagas  ,  250   m²  , Vila Sofia,Rua Sócrates
429,   R$ 20.000 /Mês    R$ 5.980.000   ,  4   Quartos  ,"Avenida Açocê, 261 - Indianópolis, São Paulo - SP",  6   Banheiros  ,  4   Vagas  ,  620   m²  , Indianópolis,"Avenida Açocê, 261"
430,   R$ 3.000 /Mês    R$ 2.345.000   ,  4   Quartos  ,"Rua Cayowaá, , 1519 - Sumaré, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  343   m²  , Sumaré,"Rua Cayowaá, , 1519"
431,   R$ 10.000 /Mês    R$ 2.500.000   ,  4   Quartos  ,"Rua Urbanizadora, 118 - Sumaré, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  340   m²  , Sumaré,"Rua Urbanizadora, 118"
432,   R$ 15.400 /Mês    R$ 3.900.000   ,  2   Quartos  ,"Avenida Angélica, 589 - Santa Cecília, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  381   m²  , Santa Cecília,"Avenida Angélica, 589"
433,   R$ 9.500 /Mês  ,  2   Quartos  ,"Rua João Cachoeira, 250 - Vila Nova Conceição, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  90   m²  , Vila Nova Conceição,"Rua João Cachoeira, 250"
434,   R$ 5.500 /Mês    R$ 1.500.000   ,  3   Quartos  ,"Rua Cônego Eugênio Leite - Pinheiros, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  135   m²  , Pinheiros,Rua Cônego Eugênio Leite
435,   R$ 20.000 /Mês    R$ 7.900.000   ,  4   Quartos  ,"Avenida Jandira - Indianópolis, São Paulo - SP",  4   Banheiros  ,  8   Vagas  ,  575   m²  , Indianópolis,Avenida Jandira
436,   R$ 2.000 /Mês  ,  2   Quartos  ,"Rua Professor Picarolo - Bela Vista, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  53   m²  , Bela Vista,Rua Professor Picarolo
437,   R$ 3.000 /Mês  ,  1   Quarto  ,"Rua Tutóia, 235 - Vila Mariana, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  50   m²  , Vila Mariana,"Rua Tutóia, 235"
438,   R$ 6.600 /Mês  ,  4   Quartos  ,"Rua Maranhão, 208 - Higienópolis, São Paulo - SP",  6   Banheiros  ,  3   Vagas  ,  350   m²  , Higienópolis,"Rua Maranhão, 208"
439,   R$ 2.000 /Mês  ,  1   Quarto  ,"Rua Tutóia, 235 - Vila Mariana, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  50   m²  , Vila Mariana,"Rua Tutóia, 235"
440,   R$ 5.200 /Mês    R$ 970.000   ,  5   Quartos  ,"Rua Antônio Aggio - Jardim Ampliação, São Paulo - SP",  4   Banheiros  ,  4   Vagas  ,  235   m²  , Jardim Ampliação,Rua Antônio Aggio
