,rent,rooms,address,bathroom,parking,area,suburb,street
998,16000,  4  ,"Rua Diogo Pereira, , 1 - Morumbi, São Paulo - SP",  5  ,  10  ,  761  ,Morumbi,"Rua Diogo Pereira, , 1"
999,6000,  3  ,"Rua Conceição de Monte Alegre - Brooklin, São Paulo - SP",  2  ,  2  ,  200  ,Brooklin,Rua Conceição de Monte Alegre
1000,2400,  2  ,"Rua Aburá - Sítio do Mandaqui, São Paulo - SP",  3  ,  2  ,  80  ,Sítio do Mandaqui,Rua Aburá
1001,38000,  4  ,"Rua Miranda Guerra - Jardim Petrópolis, São Paulo - SP",  6  ,  6  ,  747  ,Jardim Petrópolis,Rua Miranda Guerra
1002,50000,  4  ,"Rua Carlo Rainaldi - Jardim dos Estados, São Paulo - SP",  2  ,  6  ,  650  ,Jardim dos Estados,Rua Carlo Rainaldi
1003,8000,  4  ,"Rua Artur Dias - Jardim da Saude, São Paulo - SP",  5  ,  7  ,  609  ,Jardim da Saude,Rua Artur Dias
1004,10000,  4  ,"Panamby, São Paulo - SP",  4  ,  2  ,  279  ,SP,"Panamby, São Paulo"
1005,45000,  4  ,"Jardim Petrópolis, São Paulo - SP",  6  ,  6  ,  720  ,SP,"Jardim Petrópolis, São Paulo"
1006,2100,  2  ,"Jardim Esmeralda, São Paulo - SP",  2  ,  3  ,  110  ,SP,"Jardim Esmeralda, São Paulo"
1007,4800,  3  ,"Rua Aleixo Jorge - Pompeia, São Paulo - SP",  3  ,  2  ,  169  ,Pompeia,Rua Aleixo Jorge
1008,650,  1  ,"Rua Luís Stolb, 40 - Jardim Vilas Boas, São Paulo - SP",  1  ,  --  ,  35  ,Jardim Vilas Boas,"Rua Luís Stolb, 40"
1009,4000,  1  ,"Paraíso, São Paulo - SP",  1  ,  1  ,  110  ,SP,"Paraíso, São Paulo"
1010,1600,  2  ,"Rua Francisco Bellazzi - Jardim Jaraguá, São Paulo - SP",  2  ,  1  ,  79  ,Jardim Jaraguá,Rua Francisco Bellazzi
1011,25000,  4  ,"Rua Miranda Guerra, 40 - Jardim Petrópolis, São Paulo - SP",  7  ,  7  ,  547  ,Jardim Petrópolis,"Rua Miranda Guerra, 40"
1012,3000,  3  ,"Rua Hermann Teles Ribeiro, 283 - Vila Invernada, São Paulo - SP",  4  ,  4  ,  191  ,Vila Invernada,"Rua Hermann Teles Ribeiro, 283"
1013,1700,  2  ,"Rua Serra de Juquiá - Lajeado, São Paulo - SP",  1  ,  2  ,  100  ,Lajeado,Rua Serra de Juquiá
